n,InsertionSort,MergeSort,QuickSort
20000,0.130000,0.000000,0.000000
40000,0.521000,0.000000,0.000000
60000,1.192000,0.000000,0.000000
80000,2.076000,0.000000,0.000000
100000,3.264000,0.000000,0.000000
120000,4.675000,0.000000,0.000000
140000,6.290000,0.000000,0.000000
160000,8.308000,0.000000,0.000000
180000,10.501000,0.000000,0.000000
200000,12.925000,0.000000,0.000000
220000,15.603000,0.000000,0.000000
240000,18.567000,0.000000,0.000000
260000,21.743000,0.000000,0.000000
280000,25.211000,0.000000,0.000000
300000,28.910000,0.000000,0.001000
320000,32.905000,0.000000,0.000000
340000,37.265000,0.000000,0.000000
360000,41.755000,0.000000,0.000000
380000,46.247000,0.000000,0.000000
400000,51.409000,0.000000,0.000000
